id,autor,institucion,anio_pub,revista,vol,num,doi,tema,entidad,anio_dato,valor,unidad,cita,fragmento
1,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2017,20.18,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","Los homicidios dolosos registraron una tasa de 20.18 por 100,000 habitantes en 2017, antes del inicio del sexenio de López Obrador."
2,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2018,23.22,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","En 2018 la tasa de homicidios dolosos llegó a 23.22, el pico del periodo analizado, coincidiendo con el inicio del gobierno de López Obrador."
3,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2019,23.31,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","En 2019 la tasa de homicidios dolosos fue 23.31, nivel máximo histórico del periodo estudiado, contradiciendo la promesa de pacificación del gobierno federal."
4,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2020,22.57,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","La tasa de homicidios dolosos en 2020 fue de 22.57, mostrando una ligera reducción respecto al año anterior pero manteniéndose en niveles históricamente altos."
5,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2021,21.93,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","En 2021, la tasa de homicidios dolosos fue 21.93. El autor señala que pese a las tendencias a la baja, los niveles siguen siendo alarmantemente altos."
6,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Homicidio doloso,Nacional,2022,20.2,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","La tasa de homicidios dolosos en 2022 fue 20.20, regresando al nivel de 2017. Maldonado advierte que esta cifra no implica logro gubernamental sino un reordenamiento territorial del crimen organizado."
7,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Feminicidio,Nacional,2017,1.17,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","En 2017, la tasa de feminicidio fue 1.17 por 100,000 habitantes, iniciando una tendencia ascendente que se mantendría durante todo el siguiente sexenio."
8,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Feminicidio,Nacional,2021,1.49,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","El feminicidio alcanzó su tasa más alta en 2021 con 1.49 por 100,000 habitantes, evidenciando el fracaso de las políticas de género del sexenio de López Obrador."
9,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Feminicidio,Nacional,2022,1.44,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","La tasa de feminicidio en 2022 fue 1.44 por 100,000 habitantes. El autor señala que los homicidios dolosos, feminicidio, secuestro y extorsión se mantuvieron en un nivel promedio ascendente durante el sexenio."
10,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Secuestro,Nacional,2018,1.06,"tasa por 100,000 hab.","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255. https://doi.org/10.22201/iis.01882503p.2024.1.61537","El secuestro registró su tasa más alta en 2018 con 1.06 por 100,000 habitantes, año de inicio del sexenio lopezobradorista."
