id,autor,institucion,año,revista,volumen,numero,doi,tema,entidad,delito,año_dato,tasa_por_100k,unidad,cita,fragmento
1,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Homicidio doloso,2022,20.2,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","Los homicidios dolosos, feminicidio, secuestro y extorsión se mantuvieron en un nivel promedio ascendente durante el sexenio de López Obrador."
2,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Feminicidio,2022,1.44,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","El feminicidio registró una tasa de 1.44 por 100,000 habitantes en 2022, mostrando una tendencia ascendente sostenida desde 2017."
3,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Secuestro,2022,0.39,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","El secuestro disminuyó de 1.06 en 2018 a 0.39 en 2022, aunque el autor advierte que esta reducción puede deberse a la desafección ciudadana para presentar denuncias."
4,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Extorsión,2022,7.95,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","La extorsión aumentó de 4.95 en 2017 a 7.95 en 2022, siendo el delito con mayor crecimiento sostenido del periodo analizado."
5,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Robo a casa habitación,2022,46.53,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","El robo a casa habitación bajó de 74.93 en 2017 a 46.53 en 2022, aunque el autor señala que no es posible determinar si refleja eficacia policial o subregistro."
6,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Robo de vehículo,2022,77.75,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","El robo de vehículo disminuyó de 144.25 en 2017 a 77.75 en 2022, siendo la reducción más notable en términos absolutos del periodo."
7,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Crimen organizado y políticas de seguridad,Nacional,Robo a transeúnte,2022,58.96,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","El robo a transeúnte se mantuvo relativamente estable entre 2021 y 2022, con una tasa de 57.73 y 58.96 respectivamente, reflejando la persistencia de este delito en espacios urbanos."
8,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Desapariciones forzadas,Nacional,Desaparición forzada,2023,,personas desaparecidas (total acumulado),"Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","Al mes de agosto de 2023, 110,972 personas se encontraban desaparecidas y no localizadas, según cifras de la Comisión Nacional de Búsqueda, con una línea ascendente desde 2018."
9,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Violencia regional,"Zamora, Michoacán",Homicidio doloso,2022,177.7,"tasa por 100,000 habitantes","Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","Zamora tuvo en 2022 una tasa de homicidios de 177.7 por 100,000 habitantes, ocupando el segundo o tercer lugar mundial entre las ciudades más violentas de hasta 300,000 habitantes."
10,Salvador Maldonado Aranda,El Colegio de Michoacán,2024,Revista Mexicana de Sociología,86,1,10.22201/iis.01882503p.2024.1.61537,Política de seguridad,Nacional,General,2024,,análisis cualitativo,"Maldonado Aranda, S. (2024). Crimen organizado y políticas de seguridad en México: balance pre-sexenal (2018-2024). Revista Mexicana de Sociología, 86(1), 239-255.","Las políticas de seguridad del gobierno de López Obrador dejaron prácticamente intactos los sistemas de poder bajo esquemas de crimen organizado, optando por una militarización del Estado sin desarticular estructuras criminales."
